s,kW,kW,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C
725,990.24,1005.48,3.99,2.07,1.91,1.36,1,0.93,19.48
726,1002.08,1004.43,3.98,2.07,1.9,1.36,0.99,0.92,19.51
727,997.62,1004.82,3.86,2.03,1.86,1.33,0.97,0.9,19.55
728,997.81,1004.29,3.82,2.03,1.84,1.36,0.97,0.91,19.55
729,1009.31,1005.04,3.91,1.99,1.84,1.33,0.98,0.9,19.55
730,1020.24,1004.14,4.02,2.03,1.87,1.35,0.99,0.9,19.57
731,1032.15,1004.14,3.98,2.04,1.87,1.37,0.99,0.9,19.63
732,1031.48,1004.05,3.95,2.05,1.89,1.4,1,0.93,19.61
733,1024.97,1003.46,4.11,2.13,1.96,1.42,1.04,0.96,19.59
734,1014.13,1004.35,4.14,2.12,1.97,1.41,1.04,0.96,19.6
735,1004.59,1003.72,4.1,2.12,1.91,1.41,1.02,0.93,19.61
736,991.13,1003.97,4.14,2.17,1.94,1.44,1.02,0.95,19.58
737,981.91,1003.91,4.23,2.18,1.94,1.45,1.02,0.94,19.56
738,981.35,1003.77,4.19,2.17,1.9,1.41,0.99,0.93,19.55
739,974.32,1002.9,4.19,2.16,1.89,1.4,0.98,0.94,19.55
740,974.14,1003.03,4.1,2.07,1.81,1.37,0.96,0.91,19.56
741,971.2,1003.47,3.95,2,1.77,1.32,0.94,0.87,19.59
742,969.47,1003.42,3.98,2,1.81,1.33,0.94,0.86,19.6
743,978.6,1002.5,4.06,2.07,1.87,1.35,0.96,0.88,19.59
744,995.55,1003.23,4.17,2.16,1.94,1.42,1.01,0.94,19.58
745,1004.47,1001.84,4.13,2.14,1.9,1.41,1,0.92,19.55
746,1010.34,1002.58,4.18,2.12,1.91,1.4,0.99,0.91,19.53
747,1002.67,1002.49,4.15,2.09,1.93,1.38,0.99,0.91,19.52
748,1001.95,1002.12,4.13,2.09,1.93,1.37,0.99,0.91,19.53
749,998.24,1002.1,4.1,2.1,1.94,1.4,1,0.93,19.49
750,997.48,1002.03,4.1,2.09,1.91,1.41,1,0.92,19.46
751,1001.05,1002.39,4.09,2.09,1.9,1.4,0.99,0.92,19.44
752,1013.6,1001.64,4.13,2.1,1.9,1.4,0.99,0.92,19.4
753,1028.79,1002.33,4.19,2.12,1.93,1.4,1.01,0.93,19.38
754,1038.96,1002.74,4.11,2.08,1.89,1.36,0.99,0.92,19.36
755,1035.08,1001.77,4.02,2.04,1.87,1.33,0.97,0.9,19.34
756,1016.44,1001.58,4.01,2.07,1.87,1.35,0.96,0.88,19.34
757,1002.87,1001.99,4.06,2.05,1.86,1.32,0.93,0.88,19.34
758,1002.85,1001.9,4.03,2.07,1.86,1.35,0.94,0.89,19.34
759,1008.03,1001.78,3.98,2.12,1.87,1.38,0.96,0.92,19.35
760,1011.97,1002.03,3.99,2.1,1.89,1.4,0.98,0.92,19.36
761,1017.65,1002.01,3.98,2.08,1.89,1.4,0.99,0.92,19.35
762,1020.3,1002.03,3.84,2.08,1.84,1.38,0.97,0.9,19.34
763,1031.16,1002.01,3.88,2.07,1.84,1.37,0.96,0.91,19.33
764,1042.91,1001.75,3.97,2.05,1.84,1.37,0.97,0.91,19.32
765,1052.46,1001.96,4.01,2.05,1.83,1.38,0.98,0.91,19.34
766,1058.65,1001.97,3.93,2,1.8,1.36,0.96,0.88,19.34
767,1064.34,1287.15,4.02,2.05,1.9,1.38,0.98,0.92,19.34
768,1073.41,1958.71,5.75,3.29,2.9,2.12,1.47,1.39,19.32
769,1080.31,1960.19,7.66,5.08,3.91,3.13,1.99,1.89,19.31
770,1119.5,1981.67,8.07,5.57,4.08,3.41,2.13,2.01,19.28
771,1184.91,1967.02,8.1,5.61,4.1,3.44,2.16,2.02,19.27
772,1288.35,1976.69,8.22,5.7,4.16,3.48,2.18,2.04,19.26
773,1408.21,1971.59,8.34,5.76,4.17,3.49,2.17,2.04,19.26
774,1526.98,1975.24,8.39,5.83,4.23,3.52,2.17,2.04,19.28
775,1630.81,1971.45,8.39,5.83,4.25,3.56,2.24,2.08,19.31
776,1709.24,1972.85,8.44,5.76,4.28,3.54,2.25,2.1,19.3
777,1780.38,1973.05,8.43,5.59,4.23,3.47,2.21,2.06,19.31
778,1814.41,1971.53,8.23,5.39,4.14,3.35,2.17,2.02,19.33
779,1840.43,1972.74,8.16,5.38,4.14,3.34,2.15,2.03,19.34
780,1867.6,1971.84,8.02,5.28,4.04,3.28,2.14,2,19.36
781,1888.5,1971.85,8.01,5.34,4.07,3.28,2.12,1.98,19.37
782,1911.14,1972.86,8.07,5.63,4.1,3.37,2.1,2.02,19.39
783,1942.36,1972.17,8.2,5.82,4.17,3.45,2.14,2.06,19.41
784,1949.97,1971.27,8.28,5.94,4.22,3.52,2.15,2.08,19.43
785,1954.68,1971.14,8.35,5.88,4.17,3.49,2.11,2.07,19.44
786,1968.91,1970.55,8.34,5.9,4.13,3.47,2.1,2.05,19.45
787,1965.02,1971.86,8.15,5.62,4.01,3.37,2.06,2.01,19.45
788,1990.22,1971.87,7.99,5.42,3.94,3.28,2.04,1.97,19.44
789,2022.63,1970.65,8.14,5.62,4.01,3.35,2.06,2,19.42
790,2043.96,1970.75,8.24,5.57,4.05,3.39,2.07,2.03,19.41
791,2057.38,1969.53,8.28,5.51,4.11,3.36,2.11,2.03,19.41
792,2070.84,1970.68,8.27,5.46,4.14,3.37,2.14,2.03,19.43
793,2061.35,1969.49,8.24,5.57,4.17,3.41,2.18,2.07,19.42
794,2052.95,1971.32,8.35,5.82,4.2,3.53,2.19,2.11,19.42
795,2051.41,1970.69,8.26,5.76,4.17,3.47,2.18,2.07,19.42
796,2032.34,1969.28,8.2,5.67,4.11,3.44,2.15,2.05,19.44
797,2016.72,1970.37,8.15,5.61,4.1,3.39,2.11,2.02,19.45
798,2013.63,1970.27,8.03,5.45,4.01,3.32,2.05,2,19.45
799,2013.32,1969.57,7.99,5.41,3.98,3.27,2.01,1.97,19.44
800,2020.95,1969.85,8.05,5.47,3.97,3.3,2.03,1.97,19.44
801,2044.31,1969.46,7.95,5.37,3.91,3.24,2,1.92,19.47
802,2065.32,1968.87,7.95,5.41,3.98,3.27,2.04,1.96,19.48
803,2080.74,1970.05,8.01,5.55,4.05,3.32,2.1,2.02,19.49
804,2096.23,1968.94,8.18,5.59,4.11,3.34,2.12,2.03,19.52
805,2089.35,1968.73,8.27,5.62,4.14,3.37,2.12,2.05,19.55
806,2082.34,1968.94,8.22,5.49,4.05,3.34,2.09,2.01,19.6
807,2068.02,1969.04,8.12,5.32,4.01,3.26,2.06,1.97,19.61
808,2047.8,1968.93,7.95,5.2,3.97,3.19,2.05,1.94,19.6
809,2026.88,1968.79,7.94,5.28,3.92,3.2,1.99,1.92,19.62
810,1999.29,1968.23,7.77,5.2,3.79,3.13,1.94,1.88,19.63
811,1979.4,1967.84,7.69,5.2,3.73,3.11,1.92,1.85,19.63
812,1978.09,1968.48,7.87,5.38,3.8,3.18,1.96,1.89,19.62
813,1978.96,1968.49,8.01,5.42,3.86,3.24,2,1.93,19.63
814,1966.75,1968.4,8.02,5.37,3.85,3.2,1.99,1.93,19.61
815,1957.01,1968.61,8.01,5.29,3.83,3.17,1.97,1.92,19.58
816,1940.69,1968.65,7.89,5.24,3.8,3.14,1.94,1.9,19.63
817,1927.72,1968.22,7.87,5.28,3.86,3.15,1.95,1.89,19.69
818,1929.98,1968.22,8.07,5.37,3.94,3.22,1.99,1.92,19.72
819,1933.06,1967.98,8.15,5.5,4.02,3.28,2.01,1.97,19.72
820,1942.77,1967.62,8.16,5.59,4.08,3.3,2.03,2,19.75
821,1955.75,1968.32,8.15,5.62,4.13,3.35,2.08,2.03,19.75
822,1963.21,1968.03,8.15,5.59,4.16,3.41,2.13,2.04,19.73
823,1983.24,1969.01,8.27,5.66,4.2,3.45,2.14,2.08,19.77
824,2013.69,1968.06,8.45,5.76,4.22,3.49,2.14,2.09,19.73
825,2045.15,1968.3,8.49,5.69,4.2,3.48,2.16,2.08,19.71
826,2073.52,1968.82,8.43,5.63,4.14,3.43,2.12,2.03,19.73
827,2086.31,1968.46,8.2,5.59,4.04,3.35,2.06,1.97,19.71
828,2076.77,1968.11,8.15,5.55,3.98,3.3,2.05,1.97,19.7
829,2051.57,1967.3,8.03,5.45,3.89,3.24,2.01,1.93,19.69
830,2009.88,1968.1,7.87,5.3,3.71,3.18,1.97,1.88,19.67
831,1971.25,1967.95,7.87,5.32,3.69,3.18,1.95,1.9,19.64
832,1940.39,1967.66,8.1,5.45,3.8,3.26,1.99,1.95,19.63
833,1910.37,1968.37,8.2,5.54,3.83,3.32,2.02,1.98,19.63
834,1895.59,1967.99,8.06,5.46,3.77,3.19,1.97,1.92,19.65
835,1879.31,1968.09,8.16,5.49,3.91,3.24,2.03,1.94,19.67
836,1860.79,1967.29,8.15,5.33,3.92,3.23,2.03,1.96,19.66
837,1852.06,1967.11,8.1,5.28,3.92,3.2,2.01,1.95,19.63
838,1849.59,2008.13,8.12,5.21,3.97,3.2,2.06,1.97,19.59
839,1866.03,2007.41,8.07,5.22,3.97,3.22,2.06,1.97,19.58
840,1883.23,2007.67,7.98,5.28,3.92,3.23,2.03,1.95,19.59
841,1933.61,2007.59,7.95,5.28,3.89,3.2,2,1.93,19.62
842,1992.63,2008.04,7.93,5.26,3.91,3.22,2.01,1.92,19.65
843,2045.09,2007.11,8.1,5.39,4,3.3,2.05,1.97,19.68
844,2096.62,2007.26,8.23,5.46,4.04,3.32,2.07,1.97,19.71
845,2130.14,2008.52,8.28,5.5,4.07,3.31,2.07,1.99,19.71
846,2142.37,2007.29,8.18,5.36,4.04,3.28,2.07,1.98,19.73
847,2157.76,2006.68,8.22,5.45,4.1,3.35,2.12,2.03,19.74
848,2143.97,2006.73,8.15,5.43,4.07,3.37,2.14,2.05,19.76
849,2137.73,2007.19,8.14,5.43,4.07,3.36,2.13,2.04,19.82
850,2115.06,2008.09,8.16,5.47,4.05,3.36,2.1,2.02,19.84
851,2103.15,2007.37,8.26,5.59,4.07,3.35,2.06,2.02,19.8
852,2077.46,2007.56,8.26,5.65,4.04,3.35,2.06,2.01,19.77
853,2062.32,2008.08,8.23,5.7,3.98,3.32,2.03,1.97,19.77
854,2048.63,2007.06,8.08,5.62,3.95,3.24,2,1.94,19.71
855,2037.91,2007.68,8.1,5.5,3.94,3.2,2,1.91,19.66
856,2017.11,2008.06,8.2,5.58,3.89,3.22,2,1.94,19.63
857,1984.51,2007.34,8.19,5.54,3.88,3.22,2,1.93,19.6
858,1952.97,2007.01,8.1,5.43,3.83,3.22,2,1.92,19.58
859,1919.65,2007.14,8.07,5.45,3.85,3.19,1.99,1.92,19.59
860,1898.82,2007.51,8.19,5.53,3.94,3.27,2.03,1.97,19.62
861,1880.95,2006.57,8.26,5.5,4.01,3.31,2.07,2,19.64
862,1878.96,2007.03,8.23,5.45,4.02,3.28,2.07,2,19.66
863,1878.89,2007.45,8.28,5.58,4.1,3.37,2.11,2.05,19.66
864,1895.03,2006.91,8.4,5.62,4.1,3.4,2.14,2.06,19.67
865,1896.03,2008.07,8.35,5.58,4.04,3.36,2.09,2.02,19.73
866,1888.33,2007.46,8.3,5.49,4.04,3.35,2.1,2.02,19.77
867,1888.56,2007.14,8.35,5.57,4.1,3.39,2.1,2.04,19.82
868,1893.19,2006.58,8.41,5.63,4.1,3.37,2.07,2.02,19.86
869,1910.32,2008,8.4,5.69,4.11,3.4,2.1,2.02,19.9
870,1928.28,2007.46,8.41,5.7,4.08,3.39,2.09,2.02,19.93
871,1959.04,2007.48,8.32,5.58,4.04,3.35,2.08,2.01,19.95
872,1986.96,2007.89,8.22,5.51,4.01,3.32,2.07,1.99,19.98
873,2015.94,2007.13,8.24,5.53,4.05,3.32,2.05,2,19.97
874,2051.61,2007.7,8.26,5.54,4.04,3.35,2.06,2.01,19.99
875,2082.81,2007.1,8.24,5.61,4.02,3.31,2.06,1.99,20
876,2112.95,2007.08,8.28,5.61,4.02,3.34,2.06,2.01,20.02
877,2127.93,2006.92,8.28,5.63,4.02,3.35,2.07,2.01,20.06
878,2123.95,2007.34,8.39,5.62,4.02,3.32,2.06,2,20.1
879,2111.41,2005.78,8.41,5.57,4,3.3,2.05,1.98,20.15
880,2085.55,2008.02,8.34,5.47,3.92,3.26,2.02,1.97,20.19
881,2053.9,2006.45,8.27,5.43,3.94,3.27,2.02,1.97,20.24
882,2028.4,2006.24,8.34,5.54,3.97,3.34,2.07,2,20.25
883,2002.75,2007.25,8.34,5.62,3.98,3.36,2.07,2.02,20.25
884,1963.3,2007.92,8.38,5.53,4.01,3.32,2.07,2,20.23
885,1930.18,2007.93,8.31,5.54,4.01,3.32,2.05,2.01,20.14
886,1912.58,2007.25,8.27,5.49,3.98,3.3,2.05,2.01,20.08
887,1919.11,2007.49,8.34,5.46,4.01,3.28,2.03,1.98,20.08
888,1932.54,2007.46,8.31,5.51,4.01,3.3,2.03,1.98,20.06
889,1953.28,2007.98,8.38,5.54,4.04,3.31,2.04,1.99,20.01
890,1971.04,2006.71,8.48,5.53,4.11,3.34,2.06,2.01,19.99
891,1992.78,2007.23,8.49,5.51,4.11,3.34,2.05,2,19.98
892,2015.08,2007.26,8.38,5.46,4.1,3.32,2.08,2.02,20
893,2034.27,2007.52,8.28,5.41,4.07,3.32,2.09,2.01,20.01
894,2059.28,2007.51,8.2,5.33,4.01,3.27,2.06,1.97,19.95
895,2068.62,2006.78,8.2,5.33,4.01,3.26,2.06,1.98,19.9
896,2067.08,2007.07,8.23,5.41,4.02,3.28,2.07,1.98,19.84
897,2063.17,2007.93,8.2,5.37,4,3.26,2.05,1.97,19.82
898,2077.09,2007.88,8.28,5.37,4.02,3.28,2.07,1.99,19.79
899,2074.57,2006.67,8.35,5.42,4.04,3.31,2.08,2,19.79
900,2070.4,2007.45,8.26,5.34,4.01,3.28,2.07,1.98,19.78
901,2056.9,2007.55,8.35,5.37,4.02,3.3,2.08,1.99,19.76
902,2039.11,2007.56,8.31,5.36,3.98,3.28,2.05,1.97,19.76
903,2026.11,2007.87,8.27,5.38,3.95,3.3,2.05,1.98,19.8
904,2009.83,2007.47,8.28,5.36,3.97,3.3,2.05,1.96,19.83
905,2000.56,2006.96,8.32,5.34,4.01,3.28,2.05,1.97,19.77
906,1990,2005.82,8.49,5.53,4.1,3.35,2.08,2.03,19.74
907,1975.75,2006.81,8.49,5.53,4.13,3.36,2.09,2.04,19.73
908,1959.05,2007.32,8.39,5.39,4.07,3.31,2.05,2,19.7
909,1957.2,2007.79,8.38,5.41,4.07,3.31,2.05,1.99,19.68
910,1953.03,2008.23,8.38,5.39,4.04,3.3,2.06,1.99,19.67
911,1954.68,2006.46,8.38,5.33,4.05,3.27,2.06,1.97,19.66
912,1960.69,2007.66,8.38,5.37,4.08,3.27,2.06,1.98,19.67
913,1960.58,2006.42,8.4,5.42,4.07,3.24,2.05,1.97,19.67
914,1967.8,2007.63,8.43,5.55,4.1,3.28,2.06,2,19.69
915,1960.29,2007.49,8.41,5.63,4.08,3.35,2.08,2.02,19.71
916,1952.85,2007.91,8.45,5.66,4.05,3.39,2.09,2.02,19.73
917,1945.65,2007.34,8.45,5.66,4.04,3.36,2.08,2.02,19.75
918,1926.27,2006.95,8.35,5.62,4.04,3.32,2.07,2.02,19.77
919,1911.72,2007.7,8.22,5.57,4,3.28,2.04,1.98,19.75
920,1899.21,2008.88,8.2,5.57,4.04,3.31,2.05,1.98,19.69
921,1892.5,2007.25,8.27,5.62,4.05,3.34,2.09,2.01,19.63
922,1901.36,2006.62,8.38,5.69,4.07,3.39,2.11,2.04,19.61
923,1919,2007.02,8.36,5.73,4.07,3.37,2.1,2.02,19.58
924,1941.96,2007.16,8.36,5.63,4.05,3.35,2.09,2.01,19.58
925,1970,2005.72,8.3,5.57,4.05,3.32,2.08,2,19.58
926,1990.32,2006.93,8.32,5.55,4.01,3.34,2.07,2.01,19.61
927,2017.59,2007.5,8.36,5.58,4,3.35,2.08,2.02,19.64
928,2028.27,2008.4,8.44,5.65,4.08,3.43,2.13,2.08,19.63
929,2054.27,2006.89,8.36,5.59,4.04,3.37,2.1,2.04,19.62
930,2057,2007.39,8.18,5.37,3.97,3.28,2.05,1.99,19.65
931,2055.61,2006.4,8.36,5.46,4.04,3.34,2.11,2.01,19.66
932,2048.77,2007.7,8.38,5.47,3.97,3.31,2.07,1.99,19.67
933,2030,2007.42,8.4,5.51,4.01,3.34,2.08,2.01,19.65
934,2023.82,2007.11,8.31,5.39,4,3.27,2.05,1.99,19.63
935,2023.81,2008.03,8.16,5.33,3.95,3.24,2.03,1.97,19.62
936,2031.12,2007.28,8.11,5.32,3.94,3.22,2.03,1.96,19.58
937,2031.58,2007.65,8.1,5.34,3.94,3.23,2.02,1.96,19.58
938,2044.33,2007.34,8.15,5.33,3.94,3.22,2.03,1.97,19.57
939,2059.66,2007.08,8.2,5.38,3.95,3.24,2.05,1.97,19.58
940,2062.1,2007.65,8.18,5.38,3.95,3.27,2.05,1.96,19.58
941,2056.76,2007,8.18,5.38,3.97,3.27,2.04,1.96,19.57
942,2043.18,2006.39,8.26,5.49,4,3.3,2.06,2,19.56
943,2041.19,2006.73,8.44,5.54,4.04,3.32,2.09,2,19.55
944,2017.82,2007.58,8.55,5.59,4.1,3.35,2.1,2.01,19.55
945,2008.74,2007.22,8.43,5.49,4.07,3.34,2.1,2,19.59
946,2004.34,2007.12,8.34,5.45,4.08,3.32,2.09,2.01,19.62
947,2004.11,2006.49,8.55,5.5,4.14,3.35,2.11,2.03,19.67
948,1991.41,2007.22,8.39,5.51,4.11,3.37,2.11,2.05,19.73
949,1984.28,2007.04,8.35,5.51,4.11,3.4,2.13,2.05,19.76
950,1986.97,2006.75,8.43,5.45,4.08,3.34,2.11,2.03,19.8
951,2005.98,2007.17,8.35,5.42,4.02,3.31,2.08,2.01,19.81
952,2017.49,2005.99,8.4,5.5,4.05,3.32,2.09,2,19.76
953,2024.37,2006.68,8.4,5.5,4.04,3.35,2.08,2.02,19.69
954,2030.34,2007.99,8.44,5.45,4.01,3.28,2.05,1.98,19.66
955,2027.66,2006.22,8.51,5.5,4.07,3.31,2.07,2,19.65
956,2006.27,2007.06,8.56,5.58,4.11,3.35,2.08,2.03,19.62
957,1989.72,2007.79,8.53,5.63,4.1,3.34,2.07,2.01,19.61
958,1972.85,2006.11,8.57,5.66,4.07,3.35,2.09,2.02,19.6
959,1956.21,2006.37,8.45,5.58,4.04,3.32,2.08,2,19.62
960,1931.35,2006.35,8.38,5.58,4.05,3.3,2.07,1.99,19.64
961,1921.23,2006.75,8.51,5.61,4.11,3.31,2.06,2.02,19.65
962,1911.63,2006.64,8.44,5.59,4.1,3.34,2.08,2.02,19.68
963,1922.31,2005.58,8.43,5.65,4.05,3.39,2.11,2.02,19.73
964,1941.3,2007.44,8.36,5.65,4.13,3.39,2.12,2.04,19.76
965,1971.27,2006.6,8.48,5.65,4.17,3.4,2.13,2.06,19.77
966,1998.48,2007.45,8.57,5.71,4.19,3.39,2.11,2.07,19.8
967,2024.81,2008.26,8.48,5.66,4.22,3.4,2.15,2.11,19.84
968,2044.04,2008.08,8.57,5.71,4.23,3.45,2.19,2.09,19.84
969,2052.5,2008.29,8.53,5.76,4.2,3.43,2.14,2.05,19.81
970,2060.96,2007.65,8.4,5.59,4.1,3.34,2.09,2.02,19.76
971,2053.11,2006.63,8.43,5.57,4.05,3.35,2.1,2.04,19.73
972,2043.08,2007.97,8.53,5.75,4.2,3.47,2.15,2.08,19.7
973,2025.51,2007.66,8.45,5.7,4.13,3.43,2.12,2.06,19.68
974,2010.31,2007.85,8.56,5.79,4.23,3.49,2.18,2.11,19.67
975,1976.97,2007.65,8.6,5.86,4.22,3.51,2.18,2.1,19.67
976,1944.82,2008.1,8.64,5.76,4.17,3.44,2.14,2.06,19.69
977,1915,2007.4,8.67,5.75,4.14,3.41,2.13,2.06,19.71
978,1885.27,2006.83,8.57,5.62,4.13,3.37,2.12,2.05,19.73
979,1882.77,2007.23,8.39,5.57,4,3.36,2.08,2.02,19.72
980,1899.51,2007.42,8.45,5.73,4.07,3.44,2.12,2.06,19.71
981,1906.03,2006.96,8.47,5.73,4.07,3.48,2.12,2.06,19.75
982,1924.38,2007.44,8.39,5.66,4.04,3.4,2.09,2.03,19.78
983,1955.63,2006.68,8.59,5.78,4.11,3.43,2.12,2.04,19.81
984,1971.4,2007,8.6,5.75,4.13,3.44,2.12,2.06,19.88
985,1985.59,2007.77,8.44,5.63,4.02,3.37,2.1,2.03,19.91
986,1986.1,2008.21,8.47,5.71,4.1,3.45,2.14,2.06,19.92
987,1985.8,2008.05,8.6,5.76,4.11,3.45,2.12,2.1,19.94
988,1966.88,2007.49,8.51,5.73,4.1,3.4,2.08,2.08,19.96
989,1944.98,2008.06,8.35,5.59,4.05,3.34,2.06,2.01,19.95
990,1926.55,2007.68,8.28,5.55,4.01,3.31,2.06,1.96,19.97
991,1933.73,2006.59,8.41,5.61,4.16,3.34,2.11,2.04,20
992,1945.47,2006.74,8.39,5.58,4.17,3.36,2.1,2.04,20
993,1963.71,2007.02,8.38,5.62,4.19,3.41,2.12,2.06,20.02
994,1978.99,2007.61,8.44,5.67,4.19,3.44,2.13,2.09,20.02
995,2015.38,2008.09,8.51,5.71,4.22,3.45,2.13,2.1,20.03
996,2053.67,2008.1,8.6,5.74,4.23,3.45,2.13,2.1,20.06
997,2095.98,2006.05,8.41,5.58,4.1,3.35,2.11,2.06,20.07
998,2131.18,2006.53,8.31,5.53,4.05,3.31,2.08,2.02,20.08
999,2141.82,2007.01,8.44,5.55,4.1,3.34,2.11,2.02,20.1
1000,2139.66,2007.4,8.57,5.67,4.2,3.43,2.15,2.06,20.14
1001,2115.71,2006.54,8.6,5.75,4.19,3.43,2.14,2.05,20.16
1002,2087.06,2006.28,8.57,5.73,4.14,3.4,2.09,2.02,20.18
1003,2050.17,2007.25,8.48,5.59,3.97,3.32,2.05,1.99,20.19
1004,2033.21,2006.8,8.39,5.5,3.97,3.3,2.05,2,20.18
1005,2017.27,2007.72,8.38,5.51,4.01,3.32,2.08,2.02,20.2
1006,1998.43,2006.95,8.45,5.54,4.1,3.37,2.11,2.04,20.23
1007,1978.63,2007.24,8.52,5.5,4.16,3.35,2.11,2.04,20.23
1008,1971.49,2006.71,8.53,5.41,4.19,3.34,2.11,2.03,20.26
1009,1982.67,2007.59,8.47,5.42,4.13,3.32,2.1,2.04,20.26
1010,1995.12,2007.17,8.52,5.49,4.14,3.35,2.1,2.05,20.26
1011,1993.07,2007.43,8.48,5.41,4.11,3.34,2.09,2.03,20.27
1012,1996.7,2007.82,8.47,5.41,4.1,3.34,2.1,2.05,20.27
1013,1998.37,2266.56,8.6,5.58,4.17,3.36,2.13,2.07,20.28
1014,1999.89,3477.55,10.1,7.39,5.16,4.29,2.6,2.58,20.27
1015,2013.76,3887.19,12.7,11.8,6.78,6.46,3.53,3.71,20.25
1016,2064.59,3813.37,13.5,13.4,7.15,7.26,3.81,4.03,20.25
1017,2175.66,3843.83,13.4,13.5,7.15,7.33,3.84,4.05,20.24
1018,2354.65,3832.21,13.6,13.7,7.18,7.3,3.83,4,20.24
1019,2564.4,3834.1,13.4,13.5,7.12,7.35,3.83,4.02,20.23
1020,2786.21,3832.94,13.4,13.5,7.11,7.33,3.86,4.05,20.21
1021,3002.86,3832.76,13.6,14.1,7.32,7.56,3.92,4.15,20.21
1022,3195.57,3831.87,13.5,14.2,7.32,7.64,3.93,4.21,20.19
1023,3326.82,3833.45,13.6,14.2,7.27,7.62,3.91,4.19,20.2
1024,3420.61,3833.76,13.6,14.3,7.27,7.6,3.89,4.19,20.22
1025,3485.24,3832.92,13.7,14.2,7.37,7.6,3.93,4.18,20.22
1026,3546.47,3833.08,13.4,14.1,7.2,7.56,3.88,4.16,20.25
1027,3601.41,3833.35,13.3,13.9,7.15,7.47,3.87,4.14,20.26
1028,3646.8,3831.93,13.4,13.9,7.24,7.51,3.89,4.18,20.26
1029,3713.76,3833.94,13.4,13.9,7.26,7.54,3.89,4.17,20.27
1030,3786.92,3833.67,13.4,13.7,7.17,7.43,3.85,4.13,20.27
1031,3866.05,3833.29,13.6,14,7.23,7.47,3.87,4.13,20.3
1032,3922.37,3834.58,13.6,14.1,7.17,7.52,3.85,4.15,20.34
1033,3981.64,3833.35,13.4,13.4,7.05,7.25,3.77,4.03,20.36
1034,4024.93,3831.82,13.7,14.1,7.21,7.49,3.91,4.15,20.36
1035,4036,3831.41,13.5,13.8,7.11,7.42,3.86,4.09,20.38
1036,4037.33,3833.49,13.5,13.6,7.14,7.33,3.83,4.08,20.44
1037,4010,3833.62,13.6,13.9,7.2,7.45,3.86,4.13,20.5
1038,3953.54,3834.11,13.6,13.6,7.15,7.35,3.85,4.11,20.51
1039,3908.16,3833.64,13.5,13.3,7.11,7.25,3.83,4.08,20.5
1040,3878.89,3833.66,13.5,13.4,7.15,7.29,3.85,4.07,20.48
1041,3873.95,3834.52,13.2,13.2,7.08,7.24,3.83,4.04,20.46
1042,3873.87,3834.14,13.4,13.3,7.12,7.29,3.84,4.08,20.43
1043,3897.25,3835.01,13.4,13.1,7.08,7.25,3.8,4.05,20.41
1044,3908.14,3833.73,13.2,13,7.02,7.22,3.81,4.06,20.43
1045,3922.74,3831.83,13.2,12.9,6.92,7.05,3.72,3.96,20.43
1046,3936.97,3834.13,13.3,13.4,6.98,7.15,3.74,4.01,20.41
1047,3956.44,3834.15,13.3,13.6,7.02,7.3,3.8,4.08,20.35
1048,3977.73,3834.42,13.2,13.4,6.99,7.25,3.77,4.05,20.29
1049,3982.17,3833.1,13.1,13.5,7.02,7.26,3.81,4.04,20.23
1050,4009.63,3834.15,13.4,13.6,7.05,7.21,3.81,4.03,20.17
1051,4034.17,3833.85,13.4,13.8,7.06,7.29,3.82,4.04,20.15
1052,4043.96,3832.13,13.3,13.2,6.95,7.16,3.76,3.99,20.15
1053,4019.08,3832.4,13.3,13.4,7.02,7.21,3.78,4.04,20.15
1054,3999.64,3832.18,13.5,13.7,7.14,7.37,3.84,4.11,20.18
1055,3992.21,3832.71,13.6,14.1,7.21,7.54,3.9,4.16,20.21
1056,3972.47,3834.49,13.7,13.9,7.17,7.45,3.87,4.12,20.26
1057,3963.51,3834.4,13.7,13.8,7.2,7.45,3.89,4.14,20.31
1058,3944.44,3832.89,13.9,14.1,7.48,7.76,4.09,4.34,20.34
1059,3900.14,3832.97,13.7,14.4,7.46,7.92,4.13,4.4,20.37
1060,3855.84,3833.11,13.7,14.4,7.49,7.9,4.12,4.39,20.41
1061,3805.26,3832.22,13.9,14.7,7.48,7.96,4.09,4.42,20.42
1062,3761.82,3831.61,14,14.8,7.51,7.9,4.08,4.38,20.44
1063,3713.52,3833.92,13.8,14.5,7.4,7.81,4.04,4.32,20.47
1064,3643.36,3833.34,13.6,14.1,7.3,7.73,4.02,4.33,20.48
1065,3608.53,3833.06,13.6,14.2,7.32,7.64,3.95,4.23,20.5
1066,3596.53,3833.61,13.7,13.9,7.32,7.62,3.97,4.26,20.54
1067,3608.33,3833.31,13.7,14,7.42,7.67,4,4.25,20.52
1068,3643.57,3832.59,13.8,14.3,7.35,7.6,3.96,4.22,20.5
1069,3722.7,3833.78,13.8,14.3,7.35,7.58,3.97,4.28,20.49
1070,3791.56,3833.16,13.8,14.2,7.33,7.56,3.98,4.26,20.48
1071,3826.05,3833.07,13.7,14.1,7.29,7.52,3.95,4.17,20.47
1072,3833.89,3832.18,13.6,13.9,7.26,7.46,3.91,4.16,20.46
1073,3817.64,3834.23,13.6,13.8,7.17,7.37,3.85,4.12,20.47
1074,3807.12,3833.5,13.6,13.8,7.18,7.42,3.89,4.14,20.5
